,instance_id,label,success_rate,total_success,raw_image_breadth,norm_image_breadth,num_imgs,N,distance
86,435,totem,0.75,18,3071,3071,9,6,4.438581878787653
87,436,crab,0.925925926,50,21104,21104,24,6,4.6851443247580145
88,436,read,0.857142857,36,13226,13226,18,6,3.584346867582383
89,436,whale,1.0,32,2695,2695,15,6,4.601095979672156
90,437,crab,0.647058824,22,11010,11010,11,6,4.091934640328274
91,437,hug,0.857142857,24,28093,28093,12,6,5.144300604411509
92,437,rabbit,0.75,30,39069,39069,15,6,2.9663362338100323
93,438,crab,0.833333333,40,7292,3383,20,6,5.029644172428318
94,438,frog,0.935483871,58,5832,2440,27,6,4.7665758508482154
95,438,sofa,0.875,28,2748,2748,14,6,4.935453010635454
96,392,bell,0.814814815,44,4421,4421,22,8,5.949184426225419
97,392,bell,1.0,24,4421,4421,22,8,5.949184426225419
98,392,crab,0.814814815,44,2160,2160,12,8,6.00381584521236
99,392,crab,1.0,24,2160,2160,12,8,6.00381584521236
100,392,frog,0.814814815,44,2177,1087,22,8,5.4196299306150495
101,393,couch,1.0,84,4760,4760,37,8,4.28353659277646
102,393,frog,0.96969697,64,5035,2416,32,8,5.342448157045351
103,393,x,0.694444444,50,60272,37385,25,8,5.826427851327012
104,394,crab,0.95,38,3038,3038,18,8,4.1005413565043884
105,394,flat,0.916666667,44,5926,5926,20,8,7.040315014292328
106,394,frog,0.886363636,78,5354,1567,35,8,5.767968434851056
107,395,bed,0.923076923,24,1506,1506,12,8,4.371968074160161
108,395,crab,0.944444444,34,3849,3828,16,8,4.029443804388419
109,395,topdot,0.95,38,18744,18744,18,8,4.687638822007356
110,396,book,0.892857143,50,6663,6663,23,8,3.6304107659446494
111,396,crab,0.931034483,54,9247,4627,27,8,3.98220614771667
112,396,frog,0.966666667,58,5266,2518,29,8,4.466646262446797
113,397,flat,0.92,46,5633,5633,22,8,5.494925077172284
114,397,frog,0.925925926,50,9089,2292,24,8,6.211816494206358
115,397,squat,0.903225806,56,15013,15013,28,8,4.595516814755084
116,398,bunny,0.944444444,34,16684,16684,17,8,4.091127975824366
117,398,crab,0.875,42,2648,2648,21,8,4.719795626908534
118,398,frog,0.909090909,40,4824,1526,20,8,4.917194968258611
119,399,a,0.777777778,28,2320,2320,12,8,4.024693682303027
120,399,crab,0.848484848,56,1298,1298,26,8,4.545259964724627
121,399,down,0.857142857,24,2454,2454,12,8,6.295955296768532
122,425,crab,0.952380952,40,7615,7419,20,8,4.167758586358276
123,425,frog,0.925925926,50,3156,2668,23,8,4.130345247581358
124,425,sword,1.0,30,1488,1488,14,8,5.212010976728847
125,426,bowtie,0.964285714,54,1875,1875,25,8,4.794530621750911
126,426,frog,0.951219512,78,5251,1531,39,8,4.18135523083085
127,426,kissin,0.888888889,64,8498,8498,31,8,
128,427,book,1.0,36,1709,1709,16,8,3.8686056047112873
129,427,crab,0.884615385,46,5202,3932,22,8,4.145217255690947
130,427,fish,0.904761905,38,2444,2444,18,8,3.5708689783374425
131,428,crab,0.818181818,72,7143,5570,35,8,4.103212227018619
132,428,frog,1.0,52,3171,1036,24,8,5.191466390607772
133,428,rabbit,0.689655172,40,27747,27747,20,8,3.052434847111162
134,429,couch,0.9,54,2094,2094,24,8,4.565457311272361
135,429,crab,0.962962963,52,6539,6539,22,8,4.227111029067682
136,429,frog,0.806451613,50,4203,1203,24,8,6.45785903309456
137,430,book,1.0,34,3460,3460,17,8,5.800252180215749
138,430,crab,0.916666667,44,1290,1290,22,8,5.72303123140644
139,430,frog,0.878787879,58,3027,1086,28,8,6.133443937051459
140,431,crab,0.961538462,50,760,760,22,8,5.158827307811238
141,431,frog,1.0,88,3949,1835,42,8,5.959529547384404
142,431,vase,0.961538462,50,8981,8981,22,8,5.446507452726107
143,432,ball,0.947368421,36,431587,13320,18,8,6.027968171621337
144,432,crab,0.948717949,74,14408,12625,36,8,4.696150741969257
145,432,kiss,0.791666667,38,11246,11246,19,8,4.349131941174767
146,433,crab,0.833333333,50,2492,2492,25,8,6.726773156177095
147,433,flat,0.88,44,4211,4211,20,8,
148,433,frog,0.8,24,4278,1544,11,8,4.850275062574862
